singer	movie	line1	year	verses
Боярский М., Миронов А.	Человек с бульваря капуцинов	Как следует смажь	1980	Ким Ю.
Камбурова Е.	Нас венчали не в церкви	Ещё он не сшит...	1988	Окуджава Б.
